tag;val
Data Mining;44
Cистемы управления базами данных;44
Matplotlib;43
Visual Studio C#;43
Ubuntu Server;43
numpy;42
Умение работать в команде;41
Django REST Framework;41
Golang;40
Целеустремленность;40
Настройка ПО;40
Администрирование;40
Active Directory;40
Vue.js;40
Настройка сетевых подключений;39
Agile Project Management;39
Mercurial;38
Ремонт ПК;37
Tensorflow;37
Scrapy;36
ORACLE;36
Сборка ПК;35
Деловая коммуникация;35
Machine learning;35
Assembler;35
Pascal;35
Tornado;35
Debian;34
CorelDRAW;34
Windows;34
ORM;34
NoSQL;34
Unity;34
Sass;34
Тестирование;34
MS Access;33
Delphi;33
Обучение и развитие;33
Adobe Illustrator;33
Jenkins;33
Телефонные переговоры;32
SEO;32
Креативность;32
Администрирование сайтов;31
Mathcad;30
matplotlib;30
1С программирование;30
Ориентация на результат;30
Intellij IDEA;30
Ruby;30
Cisco;29
MS Outlook;29
Python 3;29
Обучение персонала;28
VBA;28
Yii;28
STL;28
1С: Предприятие 8;28
Android SDK;28
Грамотность;28
Pytest;27
Spring Framework;27
Аналитический склад ума;27
Microsoft Visual Studio;27
Joomla CMS;27
FastAPI;27
scikit-learn;26
Java SE;26
Информационные технологии;26
Ansible;26
pytest;26
Математическое программирование;26
TensorFlow;26
Data Science;26
Design Patterns;25
Vkontakte Api;25
PyTorch;25
Python3;25
Информационная безопасность;25
GitHub;25
Go;24
Проведение презентаций;24
Техническая поддержка;24
Математическое моделирование;24
REST API;24
Redmine;24
Руководство коллективом;24
PyQt;24
Машинное обучение;24
Less;24
Asyncio;23
ASP.NET;23
Статистический анализ;23
DHCP;23
Обучение;23
Atlassian Confluence;22
Ruby On Rails;22
Быстрая обучаемость;22
Perl;22
Алгоритмы и структуры данных;22
Навыки презентации;21
Heroku;21
UML;21
Умение работать в коллективе;21
phpMyAdmin;21
Scikit-learn;21
BeautifulSoup;20
Elasticsearch;20
TDD;20
Latex;20
Aiohttp;20
Django REST framework;20
Shell Scripting;20
celery;20
Gunicorn;20
Компас-3D;20
Pycharm;20
PyQt5;20
ML;19
Redux;19
Создание сайтов;19
Arduino;19
Windows Os;19
VMware;19
JS;19
Пунктуальность;19
Transact-SQL;19
Analytical skills;18
SolidWorks;18
1С-Битрикс;18
Zabbix;18
Алгоритмы;18
VueJS;18
Unix Shell Scripts;18
Настройка DNS;17
QA;17
Databases;17
Vue;17
Deep Learning;17
Системное мышление;17
Networking;17
Функциональное тестирование;17
Borland Delphi;17
R;17
docker-compose;17
SOAP;16
CoffeeScript;16
sklearn;16
Программирование;16
ReactJS;16
Преподаватель;16
PowerShell;16
Навыки продаж;16
3D Моделирование;16
Software Development;16
Серверное программирование;16
Mathematical Statistics;16
CRM;16
OOP;16
Postman;15
Разработка технических заданий;15
MS Visual C++;15
GraphQL;15
Symfony;15
Jupyter Notebook;15
VoIP;15
Jupyter;15
Системы видеонаблюдения;15
Memcached;15
Docker-compose;15
Асинхронное программирование;15
Техническое обслуживание;15
CentOS;15
TypeScript;15
Project management;15
Pytorch;15
Усидчивость;14
Управление командой;14
Настройка серверов;14
CI/CD;14
Jupiter;14
WPF;14
Github;14
Работа с оргтехникой;14
Requests;14
Spark;14
1C: Бухгалтерия;14
Autodesk Inventor;14
SciPy;14
Автоматизация;14
Sklearn;14
Windows 10;14
FreeBSD;14
