tag,count
Продажи,3
Oracle DB,3
Amazon Web Services,3
С++11,3
Системы охранно-тревожной сигнализации,3
Novell Netware,3
Astra Linux,3
Разработка нового продукта,3
Функциональное тестирование,3
Codeigniter,3
Data structures,3
Проектирование ЛВС,3
DSS1,2
Developer Express,2
Figma,2
Embedded Linux,2
численные методы,2
Pure C,2
Знание C/C++,2
Adaptability,2
Ведение документации,2
Embedded Software Development,2
Анимация,2
Verilog,2
Аналитическая геометрия,2
Биржевые торги,2
Distributed Systems,2
Развитие продаж,2
Конференции,2
1С: Предприятие,2
С\С++,2
Blazor,2
awk,2
LLVM,2
усидчивость,2
Hardware,2
CAD/CAM,2
Google SketchUp,2
winapi,2
Hypersonic Sql,2
OpenOffice,2
DirectX 9,2
PMI,2
оформление документации,2
autotools,2
Моделирование,2
Compilers,2
GSM,2
FFMpeg,2
ГОСТ,2
LDAP,2
PLC,2
1С: Склад,2
Базовые знания OpenGL,2
Высшая алгебра,2
QtWidgets,2
AWS,2
Google Test,2
Стратегическое мышление,2
Haxe,2
cocos2dx,2
G++,2
Unity 3D,2
Пунктуальный,2
Тайм-менеджмент,2
ГОСТы,2
Video Recording,2
Компьютерные сети,2
Радиотехника,2
Планирование закупок,2
ПЛИС,2
оформление заказов,2
Программирование на C++,2
Rendering,2
Xlib,2
Мотивация,2
Gradle,2
Unix Shell,2
SSH,2
Eagle CAD,2
Presentation skills,2
Data science,2
GTest,2
F#,2
Socket,2
MAXScript,2
ADO,2
Flutter,2
Системный анализ,2
Windows 95/98,2
GDI,2
OllyDbg,2
Верстка,2
Adobe InDesign,2
ODBC,2
Testing Framework,2
Cross-platform,2
PMBOK,2
Ogre3D,2
Ведение переписки на иностранном языке,2
искусственный интеллект,2
Virtual Reality,2
network protocols,2
Teamplayer,2
IAR,2
Ведение переписки,2
Abacus,2
Организация учебного процесса,2
Nvidia Cuda,2
npm,2
Нагрузочное тестирование,2
Выездное обслуживание,2
MSVC,2
Экономический анализ,2
STM32CubeMX,2
Шаблоны проектирования,2
Разработка продукта,2
CMS,2
программирование микроконтроллеров,2
Лидерские качества,2
Вычислительная математика,2
ActiveX,2
RenderDoc,2
Cuda,2
Операционные системы,2
Google API,2
Aerospike,2
Спортивные мероприятия,2
Unreal,2
Прокладка кабелей,2
алгоритмы,2
QMake,2
Adobe Acrobat,2
Автоматизация производства,2
ReactJS,2
LibAV,2
stl/boost,2
Си++,2
ГИС,2
Udp,2
Bank Software,2
Создание сайтов,2
Фотография,2
Разработка технической документации,2
ArcGIS,2
SketchUp,2
Вождение автомобилей представительского класса,2
Знание устройства автомобиля,2
Консультирование клиентов по телефону,2
Http Server,2
Электромонтажные работы,2
Bug Tracking Systems,2
Rational Unified Process,2
IDA,2
Электроника,2
Подготовка презентаций на иностранном языке,2
Документальное сопровождение,2
Организационные навыки,2
Администрирование серверов FreeBSD,2
Continuous Integration,2
MVP,2
Mercury,2
Software Testing,2
box2d,2
RS232/485,2
gSOAP,2
SAP,2
Интернет-реклама,2
Си,2
Знание языка С/С++,2
tensorflow,2
Подбор персонала,2
OSI,2
GNU/Linux,2
C++ Standard Library,2
Sphinx,2
QuickFIX,2
Metatrader API,2
АСУ ТП,2
FBD,2
BASIC,2
C++ STL,2
gerrit,2
Математическая подготовка,2
SWIG,2
protobuf,2
gRPC,2
ssh,2
IDEF0,2
Windows Vista,2
Подготовка презентаций,2
blockchain,2
asm,2
RakNet,2
Kubernetes,2
Raspberry,2
arduino,2
AllFusion ERwin Data Modeler,2
машинное обучение,2
Криптография,2
Embarcadero RAD Studio,2
Universal Windows Platform,2
Fortran,2
Антивирусная защита сети,2
Cross-platform development,2
COM/DCOM,2
Обработка видео,2
Selenium IDE,2
Linear algebra,2
emacs,2
Желание учиться,2
FastCGI,2
Административное управление,2
IAR Embedded Workbench,2
NXP,2
Программист микроконтроллеров,2
ARIS,2
asyncio,2
Augmented reality,2
C++/STL,2
Cocos2dx,2
Network programming,2
Software Architecture,2
Digital Signal Processing,2
Valgrind,2
Водительские права категории В,2
MS Suite,2
Ведение клиентской базы,2
Управление интернет-проектами,2
Дисциплинированность,2
WinSock,2
Умение разбираться в чужом коде,2
1С: Торговля,2
WinSock2,2
ClearCase,2
MS Office XP,2
Системы безопасности,2
Interbase,2
1С: Комплексная автоматизация,2
PyQt,2
C++11/14,2
DCOM,2
GLES,2
Network Programming,2
B2B Продажи,2
CI,2
Планирование,2
buildroot,2
Teambuilding,2
Водительское удостоверение категории A,2
WTL,2
Сбор и анализ информации,2
Mdaemon Mail Server,2
Crystal Reports,2
WFP,2
Разработка инструкций,2
CMAKE,2
Mono,2
Modern C++,2
Находчивость,2
Основы Python,2
1C: Зарплата и кадры,2
computer vision,2
qml,2
Shell,2
JIRA,2
Keil,2
C++ 11/14,2
Желание развиваться,2
1С: Торговля и склад,2
MikroTik,2
Wolfram Mathematica,2
Знание С++,2
ANT,2
Json,2
Microsoft office,2
Gulp,2
Symfony,2
Инвестиции,2
Regular Expressions,2
cvs,2
1С: Производство,2
1С: Управление персоналом,2
спокойный,2
Chromium Embedded Framework,2
Git/GitHub,2
opencv,2
многопоточное программирование,2
c++ builder,2
Документооборот,2
Graphics,2
Амбициозность,2
Консультирование,2
Neural networks,2
Solaris,2
ERP,2
C ++,2
Bitbucket,2
SCons,2
Резервное копирование,2
YouTrack,2
Доброжелательность,2
QGIS,2
Wifi networks,2
IIS,2
С++ 11,2
KVM,2
Phyton,2
Распределенные системы,2
Внимательность,2
sklearn,2
Web-разработка,2
Любознательность,2
Mathematics,2
Oracle 8I,2
WF,2
Numpy,2
OrCad,2
C++ 17,2
Diameter,2
metaprogramming,2
OOP/OOD,2
Написание сценариев,2
Внедрение систем информационной безопасности,2
Слепая печать,2
Административная поддержка руководителя,2
ITIL,2
1С-Рарус,2
Написание научный статей,2
Product Management,2
Oracle Siebel CRM,2
Пайка,2
Электрические системы и слаботочные системы,2
Oracle 11I,2
Django,2
UDP/IP,2
Упорство,2
Знание алгоритмов и структур данных,2
MS Windows,2
Урегулирование конфликтов,2
Matplotlib,2
линейная алгебра,2
GoLang,2
ansible,2
DBMS,2
Наставничество,2
Умение расставлять приоритеты,2
Math,2
Теория автоматического управления,2
аккуратность,2
Системная интеграция,2
Photography,2
UnrealEngine,2
RegExp,2
Godot,2
Программирование микроконтроллеров,2
OCCI,2
Linux API,2
Reverse engineering,2
C++98,2
github,2
Основы C++,2
Знание иностранных языков,2
MPLAB,2
Heroku,2
RPC,2
Составление семантического ядра,2
MS Publisher,2
Sublime Text,2
Js,2
Проектная документация,2
Видеомонтаж,2
Inkscape,2
Salesforce,2
UMG,2
Unigraphics NX,2
Local IP access networks,2
Аккуратность,2
Блокчейн,2
ERP Systems,2
Знание STL,2
Firebase,2
Substance Designer,2
Программирование в среде Linux u Windows,1
Работа скомандной строкой в Linux,1
"Базовые знания С++, PHP‚ JavaScript, HTML",1
"языки программирования: С++, С#‚ JavaScript, Matlab, Wolfram Matematica",1
"Небольшой опыт работы с программами: Visual Studio, NetBeans, Photophop, Adobe_Dreamweaver",1
Базовые знания Java,1
Хорошая математическая подготовка,1
Программист С++ в Visual Studio на Windows и Qt и NetBeans в Linux.,1
"Создание пользовательского графического интерфейса, для работы с БД, и текстовой информацией",1
"знания технологий : Viisual Studio, QT, XE2, devExpress",1
"Содание пользовательских интерфейсов с использованием Qt, Net Beans, Visual Studio.",1
Умение создавать программы для работы с бинарными и текстовыми файлами,1
"многопоточные, клиент-серверные приложения",1
создание  и работа с динамическими структурами данных,1
создание удобного интефейса,1
Базы данных: SQL,1
Радио,1
x86/ARM assembly,1
Low-level debugging & optimization,1
Binary protection,1
желание учится,1
Breakpad,1
Навыки работы с компьютерной техникой (продвинутый пользователь),1
Векторные инструкции процессоров (SSE),1
Написание bash-скриптов в LInux,1
Программирование компиляторов,1
Java (Desktop),1
"MySQL, Oracle DB",1
"•.NET (C#, WPF, WCF, WinForms)",1
Знание и понимание принципов ООП,1
"programming С/C++,  electronics",1
"C\C++, FORTRAN, Matlab, MS Excel",1
Git flow,1
STL/ATL,1
"Среды разработки: MS Visual Studio, Eclipse, MS Bland",1
Programming Pattern,1
WinSOCK 2.0,1
Assembler for PC,1
COM/ActiveX,1
BOOST,1
WinApi(basics),1
"Multithreading (process.h , boost:thread)",1
nVidia Cuda (basics),1
threading,1
работа с сетью,1
"HTML/CSS, XML",1
Разработка системы управления проектами,1
Разработка Драйверов,1
"Навыки программирования на языке C#, HTML 5",1
Внедрение и тестирование специального программного обеспечения,1
OCaml,1
OpenGL(basics),1
jira/git,1
Linux on user level,1
basic knowledge OOP/C++/Qt/STL,1
crossplatform code,1
Oracle PL,1
Многозадачность и синхронизация,1
"Программирование под Windows на языках Си++, Си, тестирование ПО",1
OLE DB & ADO,1
Numeric simulation,1
"C++, STL",1
nekoVM,1
SOQL,1
Kernel Drivers,1
Version Control System,1
Начальные навыки работы в VIM,1
Язык R,1
Техническая документация на английском языке,1
1С: Розница,1
Git (GitHub),1
1С: Предприятие: Бухгалтерский Учет,1
SQLite3,1
CI/CD,1
Навыки работы с ОС Linux,1
Навыки разработки на С++,1
Бухгалтерская отчетность,1
Навыки проведения лекционных занятий,1
Биология,1
Навык слепой печати на клавиатуре (Английский и Русский язык),1
english,1
teamwork expirience,1
Навыки составления технической документации,1
Управление разработкой,1
2D games,1
"GIT, JIRA",1
Mutlithreading,1
Sockets API,1
GML,1
Биоинженерия,1
Биоинформатика,1
Компьютерная безопасность,1
Windows GUI,1
cross-platform,1
