tag,count
Составление отчетности,1
IBM Lotus Notes,1
система управления складом WMS,1
Transact-SQL,1
1С: Камин,1
мобильная платформа 1С,1
любовь к программированию,1
Управление продажами,1
Знание 1C программы,1
1С:Предприятие 8,1
1С:Документооборот,1
Консультация,1
Налоговые программы,1
аналитик,1
Основные средства,1
Разработка нового продукта,1
Подготовка коммерческих предложений,1
Системный анализ,1
Программирование SQL,1
Business Analysis,1
"1С 8.3 (УПП 1.3, БП 3.0, ЗУП 3.1, ERP) клиент-сервер",1
1С:ЗКГУ,1
Творческое мышление,1
Трудовое закондательство РФ,1
Начальные навыки работы с продуктами 1С,1
Управление отношениями с клиентами,1
1С: УНФ,1
1C: Предприятие 8,1
Управление документооборотом,1
Выполнение поручений,1
Организационное консультирование,1
1С программирование Обновление конфигурации 1С 1С: Документооборот 1C: Бухгалтерия,1
1С: Управление небольшой фирмой,1
Знание ПК,1
Ксерокс,1
Управление складом,1
Фармацевтический склад,1
Ветеринарная документация,1
Финансовый контроль,1
Эквайринг,1
Наполнение контентом,1
Ведение групп в социальных сетях,1
Ведение документации,1
алгоритмизация,1
Организация движения и учета документов,1
Устная речь,1
Письменная речь,1
Vanessa-ADD,1
Предварительное рассмотрение документации,1
Русский — C1 — Продвинутый,1
Казахский — B1 — Средний,1
1С поддержка,1
1C Администратор,1
работа с текущей базой клиентов,1
Разработка документации к системе,1
знания в области бухгалтерии,1
Желание развиваться,1
внедрение 1с,1
проектная работа,1
Presentation skills,1
Data Analysis,1
Контроль оформления документов,1
Обновление платформы 1С,1
Ценообразование,1
Аналитика,1
Python,1
Бизнес-консультирование,1
Альфа-Авто,1
Ревизия финансово-хозяйственной деятельности компании,1
Учет поступающих ТМЦ,1
Формирование технического задания для разработки,1
1С: Управление Нашей Фирмой,1
"СКД, пакетные запросы",1
1С ЕРП,1
Автоматизация процессов,1
Креативность,1
Ответственное хранение,1
внедрение и сопровождение программ 1С,1
УТ11,1
Предприятие XML,1
ERP2.01С,1
исполнение поручений руководителя,1
Информационная безопасность,1
Умение расставлять приоритеты,1
помощник бухгалтера,1
Оператор 1с,1
Резервное копирование,1
Windows Server,1
Администрирование серверов,1
програмирование,1
умение работать в 1с,1
МСФО,1
Финансовый анализ,1
опыт работы в общепите,1
опыт работы с программой 1С,1
Внутренний контроль,1
Управление командой,1
БитФинанс,1
