tag,count
Ambitious,1
Mandrill,1
Python Telegram bot api.,1
Python Discord bot api.,1
Analytical mind-set,1
Отличное понимание ПК(software и hardware),1
Quick learner,1
Python/ Django,1
Знание компьютерных сетей. CISCO CCNA courses,1
Английский язык(intermediate),1
Windows Server 2016,1
Active Directory,1
Базовые знания C/C++,1
перевод научной литературы,1
Химические методы анализа,1
F#,1
Nokogiri,1
English intermediate,1
Http Server,1
IPython,1
webapp2,1
Falcon,1
Замотивированность развиваться,1
Docker-Compose,1
Flower,1
JetBrains PyCharm,1
Эффективность,1
Математический склад ума,1
Амбициозность,1
taxonomy,1
python tests,1
XNA,1
Borland Delphi,1
CMS,1
soft skills,1
Clojure,1
ASP .NET Core,1
react js,1
.NET Core,1
Python Django,1
Arch,1
Vegas Pro,1
pyTorch,1
Умею читать тех документацию,1
Mathematical Programming,1
базовые знания django,1
умение работать с sql,1
базовое знание frontend технологий,1
"языки программирования c++, python",1
Умение работать с git,1
Легкая обучаемость,1
Схемотехника электронного оборудования,1
python gui,1
Интерфейсы/периферия,1
Bitbucket,1
Знание компьютера,1
bamboo,1
django rest framework,1
uWSGI,1
Nuxt.JS,1
Язык программирования C,1
"Качественно, быстро, аккуратно",1
Adobe InDesign,1
Графический дизайн,1
Знания языка программирования Python,1
Alembic,1
uvicorn,1
Mathematical Modeling,1
"Python. Также имел дело с C++, Java и Matlab, но они немного подзабылись.",1
Affinity Designer,1
Unity3d,1
умение работать с фреймворком flask,1
Sqllite,1
Мед. книжка,1
понимание ООП и функционального программирования,1
Haskell,1
Torch,1
Transformers,1
Sinatra,1
UI,1
SwiftUI,1
Скурпулезность,1
Уверенные знания Python 3+;,1
Коммуникативные навыки,1
Самостоятелен,1
Понимание ООП,1
Lisp,1
Canvas,1
Дотошность,1
Стремление довести дело до конца,1
DOMObject,1
Bottle Framework,1
Разработка web приложений на php,1
Разработка ПО на Pythhon/C++,1
OpenCV(читаю док-ю),1
Настройка серверов под управлением Linux/BSD систем.,1
Bottle,1
быстрая обучаемость,1
"Python(pandas, numpy, keras, sklearn, scypy)",1
PYTelegramBotApi,1
Метрология,1
Unreal Engine 4,1
Телефонные переговоры,1
