"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 10, 1990","5.81","5.81","6.00","5.62","118.13K","-3.17%"
"Jun 03, 1990","6.00","6.00","6.00","5.62","63.20K","0.00%"
"May 27, 1990","6.00","6.00","6.19","5.62","115.20K","0.00%"
"May 20, 1990","6.00","6.00","6.00","5.44","51.27K","0.00%"
"May 13, 1990","6.00","6.00","6.19","5.62","72.60K","-3.07%"
"May 06, 1990","6.19","6.19","6.19","5.62","26.33K","3.17%"
"Apr 29, 1990","6.00","6.00","6.00","5.81","45.80K","0.00%"
"Apr 22, 1990","6.00","6.00","6.38","5.81","45.53K","-5.96%"
"Apr 15, 1990","6.38","6.38","6.94","6.19","59.00K","-8.07%"
"Apr 08, 1990","6.94","6.94","6.94","6.19","82.27K","5.79%"
"Apr 01, 1990","6.56","6.56","6.75","6.38","52.20K","-2.81%"
"Mar 25, 1990","6.75","6.75","6.75","6.19","50.40K","5.80%"
"Mar 18, 1990","6.38","6.38","6.94","6.19","106.40K","0.00%"
"Mar 11, 1990","6.38","6.38","6.38","5.25","125.47K","17.28%"
"Mar 04, 1990","5.44","5.44","5.81","5.25","47.67K","-3.20%"
"Feb 25, 1990","5.62","5.62","5.81","5.44","38.80K","0.00%"
"Feb 18, 1990","5.62","5.62","5.81","5.44","37.33K","-3.27%"
"Feb 11, 1990","5.81","5.81","6.19","5.44","70.67K","-6.14%"
"Feb 04, 1990","6.19","6.19","6.75","5.81","130.53K","-8.30%"
"Jan 28, 1990","6.75","6.75","7.31","6.38","199.67K","-5.20%"
"Jan 21, 1990","7.12","7.12","7.12","6.00","301.20K","2.59%"
"Jan 14, 1990","6.94","6.94","6.94","6.00","188.07K","8.78%"
"Jan 07, 1990","6.38","6.38","6.56","5.81","312.47K","6.33%"
"Dec 31, 1989","6.00","6.00","6.38","4.69","443.53K","22.95%"
"Dec 24, 1989","4.88","4.88","4.88","4.12","855.40K","8.44%"
"Dec 17, 1989","4.50","4.50","4.69","4.12","291.80K","-4.05%"
"Dec 10, 1989","4.69","4.69","4.88","4.50","94.93K","0.00%"
"Dec 03, 1989","4.69","4.69","4.88","4.50","138.40K","4.22%"
"Nov 26, 1989","4.50","4.50","4.88","3.94","419.87K","14.21%"
"Nov 19, 1989","3.94","3.94","4.12","3.56","74.73K","5.07%"
"Nov 12, 1989","3.75","3.75","4.12","3.56","142.80K","0.00%"
"Nov 05, 1989","3.75","3.75","3.75","3.38","210.60K","10.95%"
"Oct 29, 1989","3.38","3.38","3.94","3.19","267.00K","-5.06%"
"Oct 22, 1989","3.56","3.56","4.12","3.19","244.60K","-5.07%"
"Oct 15, 1989","3.75","3.75","3.94","3.38","179.47K","0.00%"
"Oct 08, 1989","3.75","3.75","4.31","3.75","126.20K","-8.98%"
"Oct 01, 1989","4.12","4.12","4.50","4.12","114.00K","-8.44%"
"Sep 24, 1989","4.50","4.50","4.88","4.12","320.00K","0.00%"
"Sep 17, 1989","4.50","4.50","4.69","4.31","223.47K","0.00%"
"Sep 10, 1989","4.50","4.50","4.88","4.12","124.07K","-4.05%"
